cell	devTime	raw_annotation	pred_annotation	sub_pred_annotation	prediction_score_max	pred_psdt	proj_UMAP_1	proj_UMAP_2
E6.8.797	E6	TE	TE	TE	0.981408353896704	13.059240913899	6.36912679672241	-2.55014610290527
E6.8.799	E6	TE	TE	TE	0.965494647803648	13.05074835379	6.27858829498291	-2.39644718170166
E6.8.800	E6	TE	TE	TE	0.989728253033123	13.2378006223661	7.03569889068604	-2.75263524055481
E6.8.804	E6	TE	TE	TE	0.988586898832532	13.0491363978443	6.40063428878784	-2.8681104183197
E6.8.808	E6	TE	TE	TE	0.998124923448979	14.7531403565264	5.98441553115845	0.641462802886963
E6.8.809	E6	TE	TE	TE	0.975979492769499	12.9277354095391	6.31951332092285	-2.85322570800781
E6.8.810	E6	TE	TE	TE	0.965956916809604	13.0274239728561	6.28463220596313	-2.78806567192078
E6.8.812	E6	TE	TE	TE	0.958914071952474	13.5341317648615	6.22250604629517	-1.77440428733826
E6.8.814	E6	TE	TE	TE	0.983033072019406	14.6300649295838	6.08299827575684	0.415682375431061
E6.8.817	E6	TE	TE	TE	0.984941458151564	13.1891445270582	6.12049961090088	-2.16617441177368
E6.8.819	E6	TE	TE	TE	0.970268679516067	12.8320264633214	6.43453073501587	-2.89224052429199
E6.8.825	E6	TE	TE	TE	0.987920768489666	12.8285475832582	6.46699523925781	-3.05394077301025
E6.8.832	E6	TE	TE	TE	0.992323086232277	13.3853495568396	6.19813871383667	-1.85929417610168
E6.9.1007	E6	TE	TE	TE	0.988757691669328	13.2539714294758	6.89172410964966	-2.39479422569275
E6.9.1008	E6	TE	TE	TE	0.994691634539779	13.18597853466	7.31821298599243	-2.49315977096558
E6.9.1011	E6	TE	TE	TE	0.987948401396439	13.186819034964	7.27254295349121	-2.59137916564941
E6.9.1012	E6	TE	TE	TE	0.994290665163176	13.0449541363087	6.99792909622192	-2.81993675231934
E6.9.1013	E6	TE	TE	TE	0.979686372831704	13.054012749091	6.0054817199707	-2.12237620353699
E6.9.1014	E6	TE	TE	TE	0.982544945087783	13.7860020456623	6.03931665420532	-1.3089873790741
E6.9.1015	E6	TE	TE	TE	0.990048898121624	13.4046541760444	6.57947778701782	-2.04459762573242
E6.9.1016	E6	TE	TE	TE	0.951614550747203	13.4728402610336	7.53122758865356	-1.48275053501129
E6.9.1017	E6	TE	TE	TE	0.964183923491161	13.4724729302982	7.4095664024353	-1.40628468990326
E6.9.1018	E6	TE	TE	TE	0.995410172961917	12.9853352303599	7.08845138549805	-2.99995470046997
E6.9.1020	E6	TE	TE	TE	0.981870018884391	13.0613283499067	6.33379364013672	-2.58841109275818
E6.9.1021	E6	TE	TE	TE	0.98119407635989	13.171812335157	7.48110961914062	-2.78465533256531
E6.9.1023	E6	TE	TE	TE	0.993350752141723	13.1281414301238	6.43060970306396	-2.1855194568634
E6.9.1026	E6	TE	TE	TE	0.987807660823898	12.9863061781664	6.65668296813965	-2.6990020275116
E7.10.760	E7	Epiblast	Epiblast	Early_EPI	0.998158259818697	12.2871851264122	-2.24149036407471	-2.65632820129395
E7.10.761	E7	Epiblast	Epiblast	Early_EPI	0.999763218620041	12.7115970414307	-2.20052909851074	-2.25514364242554
E7.10.762	E7	Epiblast	Epiblast	Early_EPI	0.99934649528813	12.8296002726146	-2.16226768493652	-2.36562585830688
E7.10.766	E7	Epiblast	Epiblast	Early_EPI	0.996603499443441	12.3399123281769	-2.014897108078	-2.93635773658752
E7.12.858	E7	Epiblast	Epiblast	Early_EPI	0.998338077833467	12.2871851264122	-2.13948607444763	-2.56154584884644
E7.12.869	E7	Epiblast	Epiblast	Early_EPI	0.999092752944941	12.3268638965367	-2.27950191497803	-2.63793444633484
E7.12.871	E7	Epiblast	Epiblast	Early_EPI	0.99833109722026	12.2122571523072	-2.09122490882874	-2.7421441078186
E7.17.1335	E7	Epiblast	Epiblast	Early_EPI	0.99949539085645	12.668562850317	-2.27446556091309	-2.41092419624329
E7.17.1347	E7	Epiblast	Epiblast	Early_EPI	0.989320103423881	13.0926027762136	-2.20169997215271	-1.6843204498291
E7.17.1353	E7	Epiblast	Epiblast	Early_EPI	0.997279397953432	13.0893493816392	-2.02550339698792	-1.36968159675598
E7.6.262	E7	EPI.PrE.INT	Epiblast	Early_EPI	0.740506935280152	13.0676747282021	-1.95860469341278	-0.824664950370789
E7.8.311	E7	Epiblast	Epiblast	Early_EPI	0.976779006562103	13.0231279541728	-2.0476405620575	-1.21997511386871
E7.8.329	E7	Epiblast	Epiblast	Early_EPI	0.995147917339016	13.125702988417	-2.05372762680054	-1.22147345542908
E7.9.569	E7	Epiblast	Epiblast	Early_EPI	0.999402670436362	12.6836420844326	-1.67382454872131	-1.71802306175232
E7.10.764	E7	Epiblast	Epiblast	Early_EPI	0.999031097390738	12.6405600484976	-2.18821215629578	-2.54571318626404
E7.10.768	E7	Epiblast	Epiblast	Early_EPI	0.990666839152186	11.6961305977562	-1.44727444648743	-3.04440927505493
E7.11.843	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.99483622672644	15.0977398918406	0.561020970344543	0.803792774677277
E7.11.855	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.994159995802526	15.2142478913256	0.70656281709671	0.842586934566498
E7.13.884	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.991408323448944	15.2330059989551	0.765215694904327	0.889177083969116
E7.13.892	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.987352338995432	15.3283944394147	0.66994172334671	0.986667275428772
E7.14.894	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.823721181387994	15.1711930521695	0.428549379110336	0.859200417995453
E7.14.904	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.912846793534693	15.2710907590951	1.17864346504211	0.954289376735687
E7.16.1135	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.930039338701139	15.2212543579559	1.34248113632202	0.783870160579681
E7.6.265	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.927963331432912	15.2469989261251	1.2524608373642	0.946280896663666
E7.6.266	E7	Hypoblast	Hypoblast	Early_Hypoblast	0.950485628088049	15.2733705551471	1.967693567276	1.0786966085434
