cell	devTime	raw_annotation	pred_annotation	sub_pred_annotation	prediction_score_max	pred_psdt	proj_UMAP_1	proj_UMAP_2
sc7786202	CS7	Mesoderm	Mesoderm	Mesoderm	0.975442556601879	NA	-6.40124416351318	3.5062518119812
sc7786167	CS7	AdvMes	AdvMes	AdvMes	0.989788691534464	NA	-6.62863063812256	6.20838451385498
sc7786299	CS7	AdvMes	Mesoderm	Mesoderm	0.970383568987696	NA	-5.36773681640625	5.52897453308105
sc7786096	CS7	Mesoderm	Mesoderm	Mesoderm	0.987235195541384	NA	-6.90022611618042	3.66639375686646
sc7786102	CS7	PriS	PriS	PriS	0.995827526173037	NA	-6.99017429351807	0.48292875289917
sc7786403	CS7	Mesoderm	Mesoderm	Mesoderm	0.954020096579052	NA	-4.37540340423584	4.51288509368896
sc7786749	CS7	Epiblast	Epiblast	Late_EPI	0.999751757818656	16.0982917338902	-5.28883075714111	-1.53216159343719
sc7788164	CS7	AdvMes	AdvMes	AdvMes	0.649423174164251	NA	-6.01539373397827	5.91442584991455
sc7786355	CS7	Mesoderm	Mesoderm	Mesoderm	0.973994236281344	NA	-4.31839942932129	4.50797700881958
sc7786158	CS7	DE	Hypoblast	Late_Hypoblast	0.706420218623663	16.3702579101328	0.231043294072151	1.73108375072479
sc7786785	CS7	ExE_Mes	ExE_Mes	ExE_Mes	0.998544490701788	NA	-7.09328031539917	6.80603790283203
sc7786502	CS7	DE	Ambiguous	Ambiguous	0.361795346850016	NA	-0.635838568210602	2.03369235992432
sc7786321	CS7	PriS	PriS	PriS	0.733548896415375	NA	-6.83871555328369	1.63148844242096
sc7785654	CS7	Epiblast	Epiblast	Late_EPI	0.998749449955807	16.35775184046	-5.66524171829224	-1.98844385147095
sc7788187	CS7	ExE_Mes	ExE_Mes	ExE_Mes	0.999954580477915	NA	-7.81041765213013	6.45634746551514
sc7786015	CS7	Epiblast	Epiblast	Late_EPI	0.9993386326871	16.3040844245291	-5.50797271728516	-2.04962563514709
sc7785509	CS7	Late_Amnion	Amnion	Amnion	0.902006324711881	NA	-4.05879688262939	-0.411958336830139
sc7785990	CS7	AdvMes	AdvMes	AdvMes	0.685889181525219	NA	-6.18017482757568	6.62184429168701
sc7786342	CS7	Mesoderm	Mesoderm	Mesoderm	0.975374533438817	NA	-5.40893507003784	3.49879217147827
sc7785363	CS7	ExE_Mes	ExE_Mes	ExE_Mes	0.843610480815487	NA	-8.21311664581299	8.88208484649658
sc7786544	CS7	Epiblast	Epiblast	Late_EPI	0.999028974845381	16.2283966958101	-5.23211717605591	-1.67373359203339
sc7785837	CS7	Axial Mes	Axial Mes	Axial Mes	0.999883366127524	NA	-2.13744783401489	2.34313225746155
sc7786601	CS7	DE	Axial Mes	Axial Mes	0.999604047318734	NA	-1.81053817272186	2.2654504776001
sc7785540	CS7	Epiblast	Epiblast	Late_EPI	0.999994086532875	16.743532195158	-6.16594171524048	-0.961674511432648
sc7785627	CS7	HEP	HEP	HEP	0.999929310389029	NA	-11.0008983612061	4.00898838043213
sc7786417	CS7	Mesoderm	Mesoderm	Mesoderm	0.986593574858363	NA	-4.4973316192627	4.3134298324585
sc7786177	CS7	Mesoderm	Mesoderm	Mesoderm	0.986740155898914	NA	-6.89063405990601	3.22849607467651
sc7785726	CS7	Mesoderm	Mesoderm	Mesoderm	0.852707865705015	NA	-5.13710832595825	3.7955801486969
sc7785743	CS7	YSE	YSE	YSE	0.942520261149345	NA	0.663936853408813	2.17469263076782
sc7786632	CS7	Hypoblast	YSE	YSE	0.547088316533806	NA	0.49953880906105	2.10500431060791
sc7785351	CS7	HEP	HEP	HEP	0.998446332573352	NA	-11.0529260635376	4.18996572494507
sc7786727	CS7	Hypoblast	Hypoblast	Late_Hypoblast	0.754281401951563	16.3978076636253	0.13661402463913	1.98135161399841
sc7786165	CS7	Epiblast	Epiblast	Late_EPI	0.999742532043033	16.2977699569548	-5.54599094390869	-1.67961513996124
sc7786140	CS7	PriS	PriS	PriS	0.999736681700223	NA	-7.29727745056152	1.49056732654572
sc7785671	CS7	Mesoderm	Mesoderm	Mesoderm	0.922462616180446	NA	-4.71964645385742	3.6190197467804
